ref_name,building_i,res_sqft,gid,stories,address,gqcap,median_hgt,parcel_id,source,zipcode,nonres_sqf,housing_un,demolished,year_built,SHAPE__Len,build_type,apn,SHAPE__Are,city_id
,2923496,0,4400,1.000000000000000,29835 BECK RD,0,29,2457527,SANBORN,48393,73690,0,,2014,1314.722637442675932,31,96-22-05-476-060,75723.043390883656684,2295
,2923497,0,4401,1.000000000000000,10400 ASSEMBLY PARK DR,0,28,2467205,SANBORN,48393,205200,0,,2015,1913.891474657014214,21,96-22-07-200-016,205175.345888627547538,2295
,2927217,0,4424,2.000000000000000,15151 W 10 MILE RD,0,16,2455119,OAKLAND,48237,48200,0,,2012,813.587737639022862,11,52-25-30-126-041,25871.316567143552675,2180
,2933987,0,4606,3.000000000000000,38500 ASSEMBLY PARK DR,0,,2467206,NEARMAP,48393,35232,0,,2018,474.572234255450098,23,96-22-07-200-013,13977.057251302003351,2295
,2933995,0,4607,1.000000000000000,200 SOUTH BLVD,0,,2489774,NEARMAP,48341,25000,0,,2018,794.800036963237972,33,64-14-33-302-008,25394.298923587426543,2215
,2938640,0,4715,1.000000000000000,13301 CLOVERDALE AVE,0,17,2113180,SEMCOG,48237,5936,0,,1967,314.571869295033082,33,52-25-32-351-021,5513.449976663841881,2180
,2291258,0,4741,2.000000000000000,1 S SAGINAW ST,0,26,2131830,SANBORN,48342,19320,0,,1920,456.256618226680814,65,64-14-29-480-014,10023.685020802333383,2215
,2292823,0,4753,2.000000000000000,28 N SAGINAW ST,0,36,2131800,SANBORN,48342,121800,0,,1929,423.708021194559478,23,64-14-29-477-001,9858.892768686579075,2215
,2295057,0,4762,1.000000000000000,16-20 W HURON ST,0,31,2131668,SEMCOG,48342,17300,0,,1920,340.579982954777051,23,64-14-29-429-008,6025.995775165161831,2215
,2011186,0,5100,1.000000000000000,771 E 8 MILE RD,0,11,2063055,SANBORN,48220,845,0,,1947,129.203477000060474,21,24-25-35-355-012,1032.979791780764117,2075
,2350161,0,5105,1.000000000000000,440 E 2ND ST,0,16,2143445,SANBORN,48307,9368,0,,1981,398.508887089458312,21,68-15-14-128-007,9474.095880931345164,2230
,2006543,0,5267,1.000000000000000,20705 SOUTHFIELD RD,0,13,2208046,SANBORN,48075,2204,0,,1964,281.211286089238854,21,76-24-35-483-013,3073.214737214196703,2250
,2009558,0,5341,1.000000000000000,8898 W 8 MILE RD,0,19,2353655,SANBORN,48220,10400,0,,1995,466.695352617261619,21,S -25-33-359-043,10434.454588784177758,2245
,2012336,0,5402,1.000000000000000,222 W 8 MILE RD,0,13,2068028,SANBORN,48030,7700,0,,1955,409.640715577084165,21,28-25-35-480-020,7731.379510078464591,2090
,2012557,0,5404,1.000000000000000,971 E 8 MILE RD,0,22,2070354,SANBORN,48030,11000,0,,1965,335.632617947308916,33,28-25-36-385-028,7189.523353110942480,2090
,2018213,0,5521,1.000000000000000,12950 CLOVERDALE AVE,0,17,2113160,SANBORN,48237,6602,0,,1968,311.105704433480810,33,52-25-32-326-011,5299.469576130124551,2180
,2020150,0,5559,1.000000000000000,12880 CLOVERDALE AVE,0,17,2113162,SANBORN,48237,24640,0,,1964,750.478410063059528,31,52-25-32-326-013,24978.947682982172410,2180
,2025070,0,5672,1.000000000000000,10011 NORTHEND AVE,0,14,2353188,SANBORN,48220,3600,0,,1969,275.364093013785805,31,S -25-32-429-018,3784.375260163714756,2245
,2025681,0,5692,1.000000000000000,21305 DEQUINDRE RD,0,13,2070721,SANBORN,48030,3700,0,,1950,271.438943320102510,21,28-25-36-431-035,3585.051218453131241,2090
,2026191,0,5704,1.000000000000000,13070-13110 NORTHEND AVE,0,16,2112695,SANBORN,48237,15700,0,,1964,584.363632112245455,23,52-25-32-177-020,14714.387193465359815,2180
,2026913,0,5715,1.000000000000000,21325 DEQUINDRE RD,0,15,2070719,SANBORN,48030,15577,0,,1961,565.662229093991755,31,28-25-36-431-033,15532.294535141154483,2090
,2029380,0,5757,1.000000000000000,1349 WORDSWORTH ST,0,14,2062817,SANBORN,48220,5500,0,,1958,296.704323393790958,33,24-25-35-326-010,5480.945708450444727,2075
,2029896,0,5769,1.000000000000000,8720 NORTHEND AVE,0,19,2113413,SANBORN,48237,7700,0,,1963,414.619911122801852,31,52-25-33-152-043,7747.788862398905621,2180
,2031549,0,5812,1.000000000000000,10831 CAPITAL AVE,0,19,2113137,SANBORN,48237,9044,0,,1958,387.415283612103281,31,52-25-32-276-068,7238.630284434179885,2180
,2031746,0,5821,1.000000000000000,15680 J L HUDSON DR,0,15,2208136,SANBORN,48075,5840,0,,1980,312.010776266842868,21,76-24-36-203-009,5878.084198967008888,2250
,2031789,0,5823,1.000000000000000,10631 CAPITAL AVE,0,21,2113120,SANBORN,48237,12645,0,,1952,488.368540449892691,31,52-25-32-276-008,12951.918701637750928,2180
,2031854,0,5825,1.000000000000000,12980 CAPITAL AVE,0,16,2112675,SANBORN,48237,6000,0,,1955,311.265359851150038,31,52-25-32-176-015,5433.264224884352188,2180
,2036549,0,5916,1.000000000000000,21811 DEQUINDRE RD,0,21,2069407,SANBORN,48030,5200,0,,1948,251.681895010921011,21,28-25-36-281-035,2623.063886068744523,2090
,2044886,0,6084,2.000000000000000,23225 NORTHWESTERN HWY,0,21,2201955,SANBORN,48075,16440,0,,1969,406.711629932018070,51,76-24-26-476-009,8275.283548202512975,2250
,2047101,0,6133,7.000000000000000,15800 W 9 MILE RD,0,19,2201277,SANBORN,48075,146800,0,,0,611.327637997632564,33,76-24-25-476-086,20745.424126702419017,2250
,2047688,0,6150,1.000000000000000,23434 INDUSTRIAL PARK CT,0,16,2047976,SANBORN,48335,12000,0,,1968,468.898578247998728,23,22-23-30-276-037,12072.662252064086715,2072
,2055335,0,6313,1.000000000000000,23200 JOHN R RD,0,12,2064886,SANBORN,48030,7182,0,,1951,379.984085622013708,42,28-25-25-351-004,7417.592204517742175,2090
,2062632,0,6454,1.000000000000000,2305 HILTON RD,0,15,2056812,SANBORN,48220,14498,0,,1958,528.791923256852442,31,24-25-27-438-011,14892.017382100735631,2075
,2063269,0,6469,1.000000000000000,34425 GRAND RIVER AVE,0,14,2028904,SANBORN,48335,4221,0,,1984,314.825715883594341,21,20-23-28-128-034,4235.311186210914457,2065
,2068551,0,6607,1.000000000000000,24518 LAHSER RD,0,19,2201969,SANBORN,48075,9876,0,,1997,519.766802073307531,13,76-24-27-101-011,11043.285391360714129,2250
,2069110,0,6628,1.000000000000000,24580 EVERGREEN RD,0,16,2201357,SANBORN,48075,5878,0,,1974,402.742642407715834,65,76-24-26-151-021,5395.195835195489963,2250
,2071598,0,6678,2.000000000000000,24201 COOLIDGE HWY,0,20,2109448,SANBORN,48237,32900,0,,0,651.926006746115831,13,52-25-30-278-035,16444.457364635214617,2180
,2072964,0,6701,2.000000000000000,24675 LAHSER RD,0,25,2202625,SANBORN,48033,600400,0,,0,5673.652093727618194,11,76-24-28-226-007,300215.061180882796180,2250
,2073185,0,6704,1.000000000000000,23760 WOODWARD AVE,0,14,2114947,SANBORN,48069,2095,0,,1957,212.169816476023982,51,60-25-27-157-002,2226.794405974228539,2210
,2075903,0,6764,2.000000000000000,20777 W 10 MILE RD,0,23,2202078,SANBORN,48075,147600,0,,1959,2147.900958637316307,23,76-24-27-201-005,73778.563425857748371,2250
,2075964,0,6767,1.000000000000000,40255 GRAND RIVER AVE,0,23,2096680,SANBORN,48375,9810,0,,1995,488.841750975499110,23,50-22-24-451-005,10851.223120309088699,2170
,2076276,0,6776,1.000000000000000,24301 CHURCH ST,0,11,2108591,SANBORN,48237,54100,0,,0,1605.090166128595911,11,52-25-30-131-039,54140.945237152627669,2180
,2076391,0,6783,2.000000000000000,24977 NORTHWESTERN HWY,0,20,2202088,SANBORN,48075,5400,0,,2002,207.492977150167405,63,76-24-27-226-020,2690.578099112794916,2250
,2078143,0,6815,1.000000000000000,24775 CRESTVIEW CT,0,21,2042066,SANBORN,48335,54800,0,,1979,1068.168908452725418,23,22-23-19-326-048,55745.726318535969767,2072
,2080517,0,6855,1.000000000000000,41001 GRAND RIVER AVE,0,22,2096327,SANBORN,48375,30500,0,,1979,847.241124702069328,23,50-22-24-151-001,26889.113771519208967,2170
,2081360,0,6869,1.000000000000000,18900 W 10 MILE RD,0,12,2199072,SANBORN,48075,2161,0,,1967,237.415788038292504,51,76-24-23-454-016,2702.717812947779294,2250
,2084021,0,6919,1.000000000000000,13631 W 10 MILE RD,0,18,2109220,SANBORN,48237,5500,0,,1958,396.222542970787174,21,52-25-30-229-002,6438.356604315638833,2180
,2086497,0,6963,1.000000000000000,25239 SOUTHFIELD RD,0,12,2199184,SANBORN,48075,1330,0,,1993,192.819378718979209,23,76-24-23-479-022,1653.935469603578213,2250
,2087914,0,7000,2.000000000000000,928 E 10 MILE RD,0,20,2055354,SANBORN,48220,32854,0,,0,414.367450307825834,13,24-25-27-204-051,9000.849504494148277,2075
,2095616,0,7145,1.000000000000000,26203 NOVI RD,0,10,2092061,SANBORN,48375,3014,0,,2007,303.217925325967087,23,50-22-15-476-021,3080.877698942897950,2170
,2097228,0,7167,1.000000000000000,45053 GRAND RIVER AVE,0,18,2091977,SANBORN,48375,8900,0,,1985,408.097644341053012,23,50-22-15-351-025,8903.601580798647774,2170
,2098423,0,7184,1.000000000000000,26147-26221 EVERGREEN RD,0,19,2198266,SANBORN,48076,7200,0,,1978,346.177378619327044,65,76-24-22-277-002,7193.027779500002907,2250
,2103182,0,7284,1.000000000000000,14450 MANHATTAN AVE,0,14,2103895,SANBORN,48237,82800,0,,0,2195.330552679332413,11,52-25-19-251-005,82782.237204670585925,2180
,2105488,0,7335,1.000000000000000,45500 GRAND RIVER AVE,0,21,2092204,SANBORN,48374,6800,0,,0,330.226649431213843,23,50-22-16-426-005,6807.194635611493140,2170
,2107224,0,7371,1.000000000000000,26600 SOUTHFIELD RD,0,16,2076738,SANBORN,48076,7536,0,,1970,529.366980127413740,21,40-24-24-104-033,7851.200578043518362,2135
,2107290,0,7373,1.000000000000000,26940 TAFT RD,0,13,2465047,SANBORN,48375,2200,0,,1968,187.781518326647699,23,50-22-15-152-007,2186.556084924669904,2170
,2115397,0,7536,2.000000000000000,3800 11 MILE RD,0,25,2011704,SANBORN,48072,19500,0,,1996,457.723839192228468,23,04-25-18-354-032,11857.873857034172033,2015
,2115423,0,7538,1.000000000000000,3622 11 MILE RD,0,10,2011761,SANBORN,48072,758,0,,1939,128.967708220604010,23,04-25-18-377-036,725.349590928348562,2015
