ref_name,building_i,res_sqft,gid,stories,address,gqcap,median_hgt,parcel_id,source,zipcode,nonres_sqf,housing_un,demolished,year_built,SHAPE__Len,build_type,apn,SHAPE__Are,city_id,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
,1924052,0,410756,2.000000000000000,"2327 OAKWOOD",0,12.000000000000000,1442032,SEMCOG,48122,2270,0,,1925,177.891707717765087,21,"47 001 02 0425 300",1190.801030246157779,1125,42.28483,-83.16399,1,rooftop,2327,"Oakwood Blvd",,,Melvindale,MI,"Wayne County",48122,US,Wayne
,1902854,0,410880,2.000000000000000,"16501 WOODWARD AVE",0,25.000000000000000,1121214,SANBORN,48203,23700,0,,1920,560.307439896450205,21,"43 003 01 0001 002",11832.644987720530480,1100,42.417457,-83.105503,1,rooftop,16501,"Woodward Ave",,,"Highland Park",MI,"Wayne County",48203,US,Semcog
,1004380,0,411155,1.000000000000000,"25209 8 MILE RD",0,15.000000000000000,1377781,SANBORN,48240,4609,0,,1946,260.854327769074075,31,"79 001 01 1101 000",4218.064354837042629,1150,42.442222,-83.290409,1,rooftop,25209,"8 Mile Rd",,,Redford,MI,"Wayne County",48240,US,Wayne
,1107598,0,413162,1.000000000000000,"1211 NOWLIN ST",0,29.000000000000000,1022051,SANBORN,48124,11927,0,,1972,479.063342658682302,21,"82 09 214 10 001",12076.374542049432421,1025,42.301829,-83.257505,1,rooftop,1211,"Nowlin St",,,Dearborn,MI,"Wayne County",48124,US,Semcog
,1111960,0,413225,4.000000000000000,"19855 OUTER DR",0,43.000000000000000,1021864,SANBORN,48124,53400,0,,1971,469.013900841812244,23,"82 09 214 01 001",13339.533271677653829,1025,42.303481,-83.262803,1,rooftop,19855,"Outer Dr",,,Dearborn,MI,"Wayne County",48124,US,Semcog
,1160407,0,414104,1.000000000000000,"23823 FORD RD",0,16.000000000000000,1014948,SANBORN,48128,7440,0,,1959,388.546571077221529,21,"82 09 161 02 022",8316.987704438950459,1025,42.32671,-83.270606,1,rooftop,23823,"Ford Rd",,,Dearborn,MI,"Wayne County",48128,US,Semcog
,1169347,0,414283,2.000000000000000,"949 MILITARY ST",0,20.000000000000000,1022818,SANBORN,48124,1680,0,,1954,141.275547368153497,23,"82 09 221 07 003",1157.988325570401230,1025,42.305098,-83.251139,0.9,rooftop,949,"S Military St",,,Dearborn,MI,"Wayne County",48124,US,Semcog
,1185586,0,414546,1.000000000000000,"3190 FAIRLANE DR",0,16.000000000000000,1000049,SANBORN,48101,6500,0,,2005,352.325596056380732,65,"30 002 01 0010 000",6075.235311836943765,1005,42.282357,-83.205849,1,rooftop,3190,"Fairlane Dr",,,"Allen Park",MI,"Wayne County",48101,US,Semcog
,1188934,0,414603,1.500000000000000,"17431 ALLEN RD",0,13.000000000000000,1194124,SANBORN,48122,7700,0,,0,332.864605331456858,13,"47 008 03 1470 301",5123.831297501136760,1125,42.288366,-83.182622,1,rooftop,17431,"Allen Rd",,,Melvindale,MI,"Wayne County",48122,US,Semcog
,1190058,0,414627,1.000000000000000,"3001 MILLER RD",0,113.000000000000000,1047811,SANBORN,48120,132700,0,,1940,1919.109344883500398,31,"82 10 292 02 005",132667.519982177123893,1025,42.29306,-83.159635,1,rooftop,3001,"Miller Rd",,,Dearborn,MI,"Wayne County",48120,US,Semcog
